Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By age,45-64 years old,Visit count,2887611,279907,2338994,3436228,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By age,45-64 years old,"Visit rate (per 1,000 people)",35,3,28,41,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By age,65+ years old,Visit count,1653220,201758,1257775,2048666,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By age,65+ years old,"Visit rate (per 1,000 people)",34,4,26,43,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Non-Hispanic White,Visit count,4882073,486344,3928839,5835307,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",25,2,20,30,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Non-Hispanic Black,Visit count,1578801,238714,1110921,2046680,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",41,6,29,53,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Hispanic,Visit count,867934,119962,632809,1103059,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",15,2,11,19,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Non-Hispanic other,Visit count,236630,59593,119828,353432,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",9,2,4,13,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,Northeast,Visit count,1093435,209699,682424,1504445,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,Northeast,"Visit rate (per 1,000 people)",20,4,12,27,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,Midwest,Visit count,1630608,251381,1137901,2123316,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,Midwest,"Visit rate (per 1,000 people)",24,4,17,32,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,South,Visit count,3065031,472530,2138872,3991190,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,South,"Visit rate (per 1,000 people)",26,4,18,33,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,West,Visit count,1776364,297326,1193604,2359123,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By region,West,"Visit rate (per 1,000 people)",24,4,16,31,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By metropolitan statistical area (MSA),MSA,Visit count,6046756,608593,4853914,7239598,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",22,2,18,26,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By metropolitan statistical area (MSA),Non-MSA,Visit count,1518681,272840,983915,2053448,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",34,6,22,47,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Private insurance,Visit count,2039898,199302,1649266,2430530,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Private insurance,"Visit rate (per 1,000 people)",12,1,10,14,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Medicare,Visit count,2028350,216378,1604249,2452452,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Medicare,"Visit rate (per 1,000 people)",39,4,31,47,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Medicaid,Visit count,1743117,202436,1346342,2139892,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Medicaid,"Visit rate (per 1,000 people)",33,4,26,41,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Uninsured,Visit count,639988,155717,334783,945193,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Uninsured,"Visit rate (per 1,000 people)",23,6,12,34,Yes
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Other,Visit count,,,,,No
2016,By reason for visit,2,Chest pain and related symptoms (not referable to body systems),By expected payment source,Other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,3,Fever,Total,All visits,Visit count,5494087,628042,4263124,6725049,Yes
2016,By reason for visit,3,Fever,Total,All visits,"Visit rate (per 1,000 people)",17,2,13,21,Yes
2016,By reason for visit,3,Fever,By sex,Female,Visit count,2836751,387697,2076864,3596638,Yes
2016,By reason for visit,3,Fever,By sex,Female,"Visit rate (per 1,000 people)",17,2,13,22,Yes
2016,By reason for visit,3,Fever,By sex,Male,Visit count,2657336,290885,2087200,3227471,Yes
2016,By reason for visit,3,Fever,By sex,Male,"Visit rate (per 1,000 people)",17,2,13,21,Yes
2016,By reason for visit,3,Fever,By age,0-17 years old,Visit count,4418782,588497,3265328,5572235,Yes
2016,By reason for visit,3,Fever,By age,0-17 years old,"Visit rate (per 1,000 people)",60,8,44,76,Yes
2016,By reason for visit,3,Fever,By age,18-44 years old,Visit count,559462,106756,350220,768705,Yes
2016,By reason for visit,3,Fever,By age,18-44 years old,"Visit rate (per 1,000 people)",5,1,3,7,Yes
2016,By reason for visit,3,Fever,By age,45-64 years old,Visit count,289573,63879,164370,414775,Yes
2016,By reason for visit,3,Fever,By age,45-64 years old,"Visit rate (per 1,000 people)",3,1,2,5,Yes
2016,By reason for visit,3,Fever,By age,65+ years old,Visit count,,,,,No
2016,By reason for visit,3,Fever,By age,65+ years old,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,3,Fever,By race/ethnicity,Non-Hispanic White,Visit count,2386743,269043,1859418,2914067,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",12,1,10,15,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Non-Hispanic Black,Visit count,1424782,226850,980156,1869409,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",37,6,25,48,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Hispanic,Visit count,1484600,291077,914089,2055110,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",26,5,16,36,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Non-Hispanic other,Visit count,197962,52216,95618,300305,Yes
2016,By reason for visit,3,Fever,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",7,2,4,11,Yes
2016,By reason for visit,3,Fever,By region,Northeast,Visit count,981752,227423,536002,1427502,Yes
2016,By reason for visit,3,Fever,By region,Northeast,"Visit rate (per 1,000 people)",18,4,10,26,Yes
2016,By reason for visit,3,Fever,By region,Midwest,Visit count,1084667,250726,593244,1576090,Yes
2016,By reason for visit,3,Fever,By region,Midwest,"Visit rate (per 1,000 people)",16,4,9,24,Yes
2016,By reason for visit,3,Fever,By region,South,Visit count,1890217,256356,1387760,2392674,Yes
2016,By reason for visit,3,Fever,By region,South,"Visit rate (per 1,000 people)",16,2,12,20,Yes
2016,By reason for visit,3,Fever,By region,West,Visit count,,,,,No
2016,By reason for visit,3,Fever,By region,West,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,3,Fever,By metropolitan statistical area (MSA),MSA,Visit count,4584908,588831,3430799,5739016,Yes
2016,By reason for visit,3,Fever,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",17,2,13,21,Yes
2016,By reason for visit,3,Fever,By metropolitan statistical area (MSA),Non-MSA,Visit count,909179,242332,434208,1384149,Yes
2016,By reason for visit,3,Fever,By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",21,6,10,31,Yes
2016,By reason for visit,3,Fever,By expected payment source,Private insurance,Visit count,1100425,165854,775350,1425499,Yes
2016,By reason for visit,3,Fever,By expected payment source,Private insurance,"Visit rate (per 1,000 people)",6,1,4,8,Yes
2016,By reason for visit,3,Fever,By expected payment source,Medicare,Visit count,230739,45774,141022,320455,Yes
2016,By reason for visit,3,Fever,By expected payment source,Medicare,"Visit rate (per 1,000 people)",4,1,3,6,Yes
2016,By reason for visit,3,Fever,By expected payment source,Medicaid,Visit count,2840900,342830,2168954,3512847,Yes
2016,By reason for visit,3,Fever,By expected payment source,Medicaid,"Visit rate (per 1,000 people)",54,7,42,67,Yes
2016,By reason for visit,3,Fever,By expected payment source,Uninsured,Visit count,249738,65324,121704,377773,Yes
2016,By reason for visit,3,Fever,By expected payment source,Uninsured,"Visit rate (per 1,000 people)",9,2,4,14,Yes
2016,By reason for visit,3,Fever,By expected payment source,Other,Visit count,,,,,No
2016,By reason for visit,3,Fever,By expected payment source,Other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,4,Cough,Total,All visits,Visit count,5145699,482739,4199531,6091867,Yes
2016,By reason for visit,4,Cough,Total,All visits,"Visit rate (per 1,000 people)",16,2,13,19,Yes
2016,By reason for visit,4,Cough,By sex,Female,Visit count,2700944,274233,2163448,3238440,Yes
2016,By reason for visit,4,Cough,By sex,Female,"Visit rate (per 1,000 people)",17,2,13,20,Yes
2016,By reason for visit,4,Cough,By sex,Male,Visit count,2444755,281072,1893855,2995656,Yes
2016,By reason for visit,4,Cough,By sex,Male,"Visit rate (per 1,000 people)",16,2,12,19,Yes
2016,By reason for visit,4,Cough,By age,0-17 years old,Visit count,2572853,336430,1913451,3232255,Yes
2016,By reason for visit,4,Cough,By age,0-17 years old,"Visit rate (per 1,000 people)",35,5,26,44,Yes
2016,By reason for visit,4,Cough,By age,18-44 years old,Visit count,1313994,153958,1012237,1615751,Yes
2016,By reason for visit,4,Cough,By age,18-44 years old,"Visit rate (per 1,000 people)",12,1,9,14,Yes
2016,By reason for visit,4,Cough,By age,45-64 years old,Visit count,677509,91304,498554,856465,Yes
2016,By reason for visit,4,Cough,By age,45-64 years old,"Visit rate (per 1,000 people)",8,1,6,10,Yes
2016,By reason for visit,4,Cough,By age,65+ years old,Visit count,581343,96419,392363,770323,Yes
2016,By reason for visit,4,Cough,By age,65+ years old,"Visit rate (per 1,000 people)",12,2,8,16,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Non-Hispanic White,Visit count,2473112,276046,1932061,3014162,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",13,1,10,15,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Non-Hispanic Black,Visit count,1353351,204154,953209,1753493,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",35,5,25,45,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Hispanic,Visit count,1107728,194623,726267,1489189,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",19,3,13,26,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Non-Hispanic other,Visit count,211509,49520,114450,308568,Yes
2016,By reason for visit,4,Cough,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",8,2,4,11,Yes
2016,By reason for visit,4,Cough,By region,Northeast,Visit count,555047,101704,355706,754388,Yes
2016,By reason for visit,4,Cough,By region,Northeast,"Visit rate (per 1,000 people)",10,2,7,13,Yes
2016,By reason for visit,4,Cough,By region,Midwest,Visit count,1013937,219843,583044,1444829,Yes
2016,By reason for visit,4,Cough,By region,Midwest,"Visit rate (per 1,000 people)",15,3,9,22,Yes
2016,By reason for visit,4,Cough,By region,South,Visit count,2069640,290155,1500937,2638342,Yes
2016,By reason for visit,4,Cough,By region,South,"Visit rate (per 1,000 people)",17,2,13,22,Yes
2016,By reason for visit,4,Cough,By region,West,Visit count,1507076,300278,918531,2095620,Yes
2016,By reason for visit,4,Cough,By region,West,"Visit rate (per 1,000 people)",20,4,12,28,Yes
2016,By reason for visit,4,Cough,By metropolitan statistical area (MSA),MSA,Visit count,4081520,419346,3259602,4903438,Yes
2016,By reason for visit,4,Cough,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",15,2,12,18,Yes
2016,By reason for visit,4,Cough,By metropolitan statistical area (MSA),Non-MSA,Visit count,1064179,292493,490892,1637466,Yes
2016,By reason for visit,4,Cough,By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",24,7,11,37,Yes
2016,By reason for visit,4,Cough,By expected payment source,Private insurance,Visit count,1135890,164608,813259,1458522,Yes
2016,By reason for visit,4,Cough,By expected payment source,Private insurance,"Visit rate (per 1,000 people)",7,1,5,8,Yes
2016,By reason for visit,4,Cough,By expected payment source,Medicare,Visit count,567803,90099,391209,744397,Yes
2016,By reason for visit,4,Cough,By expected payment source,Medicare,"Visit rate (per 1,000 people)",11,2,7,14,Yes
2016,By reason for visit,4,Cough,By expected payment source,Medicaid,Visit count,2487457,274682,1949081,3025834,Yes
2016,By reason for visit,4,Cough,By expected payment source,Medicaid,"Visit rate (per 1,000 people)",48,5,37,58,Yes
2016,By reason for visit,4,Cough,By expected payment source,Uninsured,Visit count,372171,78676,217966,526377,Yes
2016,By reason for visit,4,Cough,By expected payment source,Uninsured,"Visit rate (per 1,000 people)",13,3,8,19,Yes
2016,By reason for visit,4,Cough,By expected payment source,Other,Visit count,,,,,No
2016,By reason for visit,4,Cough,By expected payment source,Other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,5,Shortness of breath,Total,All visits,Visit count,3444227,407842,2644857,4243598,Yes
2016,By reason for visit,5,Shortness of breath,Total,All visits,"Visit rate (per 1,000 people)",11,1,8,13,Yes
2016,By reason for visit,5,Shortness of breath,By sex,Female,Visit count,1870763,211884,1455471,2286056,Yes
2016,By reason for visit,5,Shortness of breath,By sex,Female,"Visit rate (per 1,000 people)",12,1,9,14,Yes
2016,By reason for visit,5,Shortness of breath,By sex,Male,Visit count,1573464,287777,1009421,2137508,Yes
2016,By reason for visit,5,Shortness of breath,By sex,Male,"Visit rate (per 1,000 people)",10,2,6,14,Yes
2016,By reason for visit,5,Shortness of breath,By age,0-17 years old,Visit count,219233,51565,118166,320300,Yes
2016,By reason for visit,5,Shortness of breath,By age,0-17 years old,"Visit rate (per 1,000 people)",3,1,2,4,Yes
2016,By reason for visit,5,Shortness of breath,By age,18-44 years old,Visit count,706166,100848,508505,903828,Yes
2016,By reason for visit,5,Shortness of breath,By age,18-44 years old,"Visit rate (per 1,000 people)",6,1,4,8,Yes
2016,By reason for visit,5,Shortness of breath,By age,45-64 years old,Visit count,1218909,179133,867809,1570010,Yes
2016,By reason for visit,5,Shortness of breath,By age,45-64 years old,"Visit rate (per 1,000 people)",15,2,10,19,Yes
2016,By reason for visit,5,Shortness of breath,By age,65+ years old,Visit count,1299918,200328,907275,1692562,Yes
2016,By reason for visit,5,Shortness of breath,By age,65+ years old,"Visit rate (per 1,000 people)",27,4,19,35,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Non-Hispanic White,Visit count,2394143,363347,1681982,3106303,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",12,2,9,16,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Non-Hispanic Black,Visit count,695034,116647,466406,923661,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",18,3,12,24,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Hispanic,Visit count,296373,68677,161767,430980,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",5,1,3,8,Yes
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Non-Hispanic other,Visit count,,,,,No
2016,By reason for visit,5,Shortness of breath,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,5,Shortness of breath,By region,Northeast,Visit count,590947,123565,348760,833134,Yes
2016,By reason for visit,5,Shortness of breath,By region,Northeast,"Visit rate (per 1,000 people)",11,2,6,15,Yes
2016,By reason for visit,5,Shortness of breath,By region,Midwest,Visit count,,,,,No
2016,By reason for visit,5,Shortness of breath,By region,Midwest,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,5,Shortness of breath,By region,South,Visit count,1243001,222077,807730,1678272,Yes
2016,By reason for visit,5,Shortness of breath,By region,South,"Visit rate (per 1,000 people)",10,2,7,14,Yes
2016,By reason for visit,5,Shortness of breath,By region,West,Visit count,739807,128269,488400,991215,Yes
2016,By reason for visit,5,Shortness of breath,By region,West,"Visit rate (per 1,000 people)",10,2,6,13,Yes
2016,By reason for visit,5,Shortness of breath,By metropolitan statistical area (MSA),MSA,Visit count,2498271,247030,2014093,2982449,Yes
2016,By reason for visit,5,Shortness of breath,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",9,1,7,11,Yes
2016,By reason for visit,5,Shortness of breath,By metropolitan statistical area (MSA),Non-MSA,Visit count,,,,,No
2017,By reason for visit,4,Cough,By sex,Female,Visit count,2759910,363271,2047899,3471922,Yes
2016,By reason for visit,5,Shortness of breath,By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,5,Shortness of breath,By expected payment source,Private insurance,Visit count,630296,96412,441328,819263,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Private insurance,"Visit rate (per 1,000 people)",4,1,3,5,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Medicare,Visit count,1363324,192376,986268,1740380,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Medicare,"Visit rate (per 1,000 people)",26,4,19,33,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Medicaid,Visit count,687948,126210,440577,935319,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Medicaid,"Visit rate (per 1,000 people)",13,2,8,18,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Uninsured,Visit count,204622,50666,105316,303928,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Uninsured,"Visit rate (per 1,000 people)",7,2,4,11,Yes
2016,By reason for visit,5,Shortness of breath,By expected payment source,Other,Visit count,,,,,No
2016,By reason for visit,5,Shortness of breath,By expected payment source,Other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,6,"Headache, pain in head",Total,All visits,Visit count,4103780,358530,3401060,4806499,Yes
2016,By reason for visit,6,"Headache, pain in head",Total,All visits,"Visit rate (per 1,000 people)",13,1,11,15,Yes
2016,By reason for visit,6,"Headache, pain in head",By sex,Female,Visit count,2578345,250909,2086563,3070128,Yes
2016,By reason for visit,6,"Headache, pain in head",By sex,Female,"Visit rate (per 1,000 people)",16,2,13,19,Yes
2016,By reason for visit,6,"Headache, pain in head",By sex,Male,Visit count,1525435,167721,1196702,1854167,Yes
2016,By reason for visit,6,"Headache, pain in head",By sex,Male,"Visit rate (per 1,000 people)",10,1,8,12,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,0-17 years old,Visit count,621252,110151,405356,837149,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,0-17 years old,"Visit rate (per 1,000 people)",8,1,6,11,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,18-44 years old,Visit count,2020088,196370,1635202,2404973,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,18-44 years old,"Visit rate (per 1,000 people)",18,2,14,21,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,45-64 years old,Visit count,1051523,138094,780860,1322187,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,45-64 years old,"Visit rate (per 1,000 people)",13,2,9,16,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,65+ years old,Visit count,410916,76309,261351,560482,Yes
2016,By reason for visit,6,"Headache, pain in head",By age,65+ years old,"Visit rate (per 1,000 people)",9,2,5,12,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Non-Hispanic White,Visit count,2355383,227668,1909154,2801612,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",12,1,10,14,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Non-Hispanic Black,Visit count,956651,165140,632978,1280325,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",25,4,16,33,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Hispanic,Visit count,719962,152881,420317,1019608,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",13,3,7,18,Yes
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Non-Hispanic other,Visit count,,,,,No
2016,By reason for visit,6,"Headache, pain in head",By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,6,"Headache, pain in head",By region,Northeast,Visit count,640029,138046,369459,910599,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,Northeast,"Visit rate (per 1,000 people)",12,2,7,16,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,Midwest,Visit count,843207,102513,642281,1044133,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,Midwest,"Visit rate (per 1,000 people)",13,1,10,16,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,South,Visit count,1417966,170254,1084269,1751664,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,South,"Visit rate (per 1,000 people)",12,1,9,15,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,West,Visit count,1202577,264606,683949,1721206,Yes
2016,By reason for visit,6,"Headache, pain in head",By region,West,"Visit rate (per 1,000 people)",16,3,9,23,Yes
2016,By reason for visit,6,"Headache, pain in head",By metropolitan statistical area (MSA),MSA,Visit count,3421133,353411,2728447,4113820,Yes
2016,By reason for visit,6,"Headache, pain in head",By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",12,1,10,15,Yes
2016,By reason for visit,6,"Headache, pain in head",By metropolitan statistical area (MSA),Non-MSA,Visit count,682647,113688,459818,905475,Yes
2016,By reason for visit,6,"Headache, pain in head",By metropolitan statistical area (MSA),Non-MSA,"Visit rate (per 1,000 people)",16,3,10,21,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Private insurance,Visit count,1073973,132186,814887,1333058,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Private insurance,"Visit rate (per 1,000 people)",6,1,5,8,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Medicare,Visit count,495240,83597,331389,659090,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Medicare,"Visit rate (per 1,000 people)",9,2,6,13,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Medicaid,Visit count,1458718,153923,1157028,1760407,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Medicaid,"Visit rate (per 1,000 people)",28,3,22,34,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Uninsured,Visit count,260575,60847,141314,379837,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Uninsured,"Visit rate (per 1,000 people)",9,2,5,14,Yes
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Other,Visit count,,,,,No
2016,By reason for visit,6,"Headache, pain in head",By expected payment source,Other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,7,Back symptoms,Total,All visits,Visit count,3691306,358900,2987861,4394750,Yes
2016,By reason for visit,7,Back symptoms,Total,All visits,"Visit rate (per 1,000 people)",12,1,9,14,Yes
2016,By reason for visit,7,Back symptoms,By sex,Female,Visit count,1947743,208408,1539264,2356222,Yes
2016,By reason for visit,7,Back symptoms,By sex,Female,"Visit rate (per 1,000 people)",12,1,9,14,Yes
2016,By reason for visit,7,Back symptoms,By sex,Male,Visit count,1743563,200600,1350387,2136739,Yes
2016,By reason for visit,7,Back symptoms,By sex,Male,"Visit rate (per 1,000 people)",11,1,9,14,Yes
2016,By reason for visit,7,Back symptoms,By age,0-17 years old,Visit count,,,,,No
2016,By reason for visit,7,Back symptoms,By age,0-17 years old,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,7,Back symptoms,By age,18-44 years old,Visit count,1748397,172509,1410280,2086515,Yes
2016,By reason for visit,7,Back symptoms,By age,18-44 years old,"Visit rate (per 1,000 people)",15,2,12,18,Yes
2016,By reason for visit,7,Back symptoms,By age,45-64 years old,Visit count,1243478,177679,895228,1591729,Yes
2016,By reason for visit,7,Back symptoms,By age,45-64 years old,"Visit rate (per 1,000 people)",15,2,11,19,Yes
2016,By reason for visit,7,Back symptoms,By age,65+ years old,Visit count,560293,108718,347206,773379,Yes
2016,By reason for visit,7,Back symptoms,By age,65+ years old,"Visit rate (per 1,000 people)",12,2,7,16,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Non-Hispanic White,Visit count,2363435,284889,1805053,2921817,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Non-Hispanic White,"Visit rate (per 1,000 people)",12,1,9,15,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Non-Hispanic Black,Visit count,602977,120805,366199,839754,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Non-Hispanic Black,"Visit rate (per 1,000 people)",15,3,9,22,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Hispanic,Visit count,594310,115319,368285,820336,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",10,2,6,14,Yes
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Non-Hispanic other,Visit count,,,,,No
2016,By reason for visit,7,Back symptoms,By race/ethnicity,Non-Hispanic other,"Visit rate (per 1,000 people)",,,,,No
2016,By reason for visit,7,Back symptoms,By region,Northeast,Visit count,456521,113778,233517,679524,Yes
2016,By reason for visit,7,Back symptoms,By region,Northeast,"Visit rate (per 1,000 people)",8,2,4,12,Yes
2016,By reason for visit,7,Back symptoms,By region,Midwest,Visit count,580274,112016,360722,799826,Yes
2016,By reason for visit,7,Back symptoms,By region,Midwest,"Visit rate (per 1,000 people)",9,2,5,12,Yes
2016,By reason for visit,7,Back symptoms,By region,South,Visit count,1598953,242156,1124327,2073579,Yes
2016,By reason for visit,7,Back symptoms,By region,South,"Visit rate (per 1,000 people)",13,2,9,17,Yes
2016,By reason for visit,7,Back symptoms,By region,West,Visit count,1055558,211334,641344,1469771,Yes
2016,By reason for visit,7,Back symptoms,By region,West,"Visit rate (per 1,000 people)",14,3,9,19,Yes
2016,By reason for visit,7,Back symptoms,By metropolitan statistical area (MSA),MSA,Visit count,2957957,337733,2296001,3619913,Yes
2016,By reason for visit,7,Back symptoms,By metropolitan statistical area (MSA),MSA,"Visit rate (per 1,000 people)",11,1,8,13,Yes
2017,By reason for visit,4,Cough,By sex,Female,"Visit rate (per 1,000 people)",17,2,13,21,Yes
2016,By reason for visit,7,Back symptoms,By metropolitan statistical area (MSA),Non-MSA,Visit count,733349,216874,308276,1158422,Yes
